
Document1		TF		IDF		TF-IDF
candied     	1.0000	1.0000	0.0526	
white       	1.0000	1.0000	0.0526	
pepper      	1.0000	1.0000	0.0526	
savory      	1.0000	0.6990	0.0526	
carry       	1.0000	1.0000	0.0526	
balance     	1.0000	0.5229	0.0526	
soft        	1.0000	1.0000	0.0526	

Document8		TF		IDF		TF-IDF
offer       	1.0000	0.6990	0.0833	
acidity     	1.0000	0.1549	0.0833	
a           	1.0000	0.1549	0.0833	
wine        	1.0000	0.3010	0.0833	
firm        	1.0000	0.6990	0.0833	
balance     	1.0000	0.5229	0.0833	
dry         	1.0000	0.6990	0.0833	
restrain    	1.0000	1.0000	0.0833	
spice       	1.0000	0.6990	0.0833	
profusion   	1.0000	1.0000	0.0833	
texture     	1.0000	0.6990	0.0833	
food        	1.0000	1.0000	0.0833	

Document9		TF		IDF		TF-IDF
dried       	1.0000	0.6990	0.0588	
brisk       	1.0000	0.6990	0.0588	
fruity      	1.0000	0.6990	0.0588	
wine        	1.0000	0.3010	0.0588	
flavors     	1.0000	0.5229	0.0588	
note        	1.0000	0.6990	0.0588	
fresh       	1.0000	0.3979	0.0588	
savory      	1.0000	0.6990	0.0588	
thyme       	1.0000	1.0000	0.0588	
accent      	1.0000	1.0000	0.0588	
sunnier     	1.0000	1.0000	0.0588	
preserve    	1.0000	1.0000	0.0588	
peach       	1.0000	1.0000	0.0588	
off-dry     	1.0000	1.0000	0.0588	
elegant     	1.0000	1.0000	0.0588	
sprightly   	1.0000	1.0000	0.0588	
footprint   	1.0000	1.0000	0.0588	

Document10		TF		IDF		TF-IDF
apple       	1.0000	0.6990	0.0625	
acidity     	1.0000	0.1549	0.0625	
a           	1.0000	0.1549	0.0625	
fruits      	1.0000	0.6990	0.0625	
crisp       	1.0000	0.6990	0.0625	
fresh       	1.0000	0.3979	0.0625	
balance     	1.0000	0.5229	0.0625	
dry         	1.0000	0.6990	0.0625	
spice       	1.0000	0.6990	0.0625	
texture     	1.0000	0.6990	0.0625	
great       	1.0000	1.0000	0.0625	
depth       	1.0000	1.0000	0.0625	
flavor      	1.0000	1.0000	0.0625	
pear        	1.0000	1.0000	0.0625	
touch       	1.0000	1.0000	0.0625	
drink       	1.0000	1.0000	0.0625	

Matriz de similitud
0.0535	0.0031	0.0032	0.0049	0.0000	0.0059	0.0113	0.0089	0.0072	0.0067	
0.0031	0.0588	0.0070	0.0035	0.0072	0.0044	0.0155	0.0196	0.0069	0.0110	
0.0032	0.0070	0.0599	0.0055	0.0030	0.0073	0.0032	0.0100	0.0081	0.0075	
0.0049	0.0035	0.0055	0.0461	0.0044	0.0056	0.0080	0.0050	0.0027	0.0037	
0.0000	0.0072	0.0030	0.0044	0.0495	0.0045	0.0039	0.0102	0.0029	0.0046	
0.0059	0.0044	0.0073	0.0056	0.0045	0.0370	0.0078	0.0062	0.0044	0.0069	
0.0113	0.0155	0.0032	0.0080	0.0039	0.0078	0.0526	0.0132	0.0062	0.0132	
0.0089	0.0196	0.0100	0.0050	0.0102	0.0062	0.0132	0.0833	0.0049	0.0312	
0.0072	0.0069	0.0081	0.0027	0.0029	0.0044	0.0062	0.0049	0.0588	0.0037	
0.0067	0.0110	0.0075	0.0037	0.0046	0.0069	0.0132	0.0312	0.0037	0.0625	
